pageId,pagePath,pageName,versionId,versionDate,versionComments,versionAuthorUsername,versionApproverUsername
222,/blog/neque-porro-quisquam,"Neque porro quisquam",1,"2021-04-09 14:18:00","Initial Version",Benjamin_Blogger,Benjamin_Blogger
221,/blog/ipsum,Ipsum,1,"2021-04-09 14:16:51","Initial Version",Lucy_Loser,Lucy_Loser
219,/blog/lorem,Lorem,1,"2021-04-09 14:11:54","Initial Version",Donald_Dump,Donald_Dump
217,/blog/linux-bloggerscom,Linux-Bloggers.com,1,"2021-04-09 14:03:48","Initial Version",Adam_Admin,Adam_Admin
1,,Home,3,"2021-04-09 13:52:21","New Version 3",Adam_Admin,Adam_Admin
186,/!stacks/header-site-title,"Header Site Title",7,"2021-04-09 13:52:21","New Version 7",Adam_Admin,Adam_Admin
186,/!stacks/header-site-title,"Header Site Title",2,"2021-04-09 13:41:35","New Version 2",Adam_Admin,Adam_Admin
186,/!stacks/header-site-title,"Header Site Title",3,"2021-04-09 13:41:35","New Version 3",Adam_Admin,Adam_Admin
186,/!stacks/header-site-title,"Header Site Title",4,"2021-04-09 13:41:35","New Version 4",Adam_Admin,Adam_Admin
1,,Home,2,"2021-04-09 13:41:33","New Version 2",Adam_Admin,Adam_Admin
184,/!stacks/header-navigation,"Header Navigation",2,"2021-04-09 13:41:33","New Version 2",Adam_Admin,Adam_Admin
1,,Home,1,,"Initial Version",Adam_Admin,
2,/dashboard,Dashboard,1,,"Initial Version",Adam_Admin,
3,/dashboard/sitemap,Sitemap,1,,"Initial Version",Adam_Admin,
4,/dashboard/sitemap/full,"Full Sitemap",1,,"Initial Version",Adam_Admin,
5,/dashboard/sitemap/explore,"Flat View",1,,"Initial Version",Adam_Admin,
6,/dashboard/sitemap/search,"Page Search",1,,"Initial Version",Adam_Admin,
7,/dashboard/files,Files,1,,"Initial Version",Adam_Admin,
8,/dashboard/files/search,"File Manager",1,,"Initial Version",Adam_Admin,
9,/dashboard/files/attributes,Attributes,1,,"Initial Version",Adam_Admin,
10,/dashboard/files/sets,"File Sets",1,,"Initial Version",Adam_Admin,
11,/dashboard/files/add_set,"Add File Set",1,,"Initial Version",Adam_Admin,
12,/dashboard/users,Members,1,,"Initial Version",Adam_Admin,
13,/dashboard/users/search,"Search Users",1,,"Initial Version",Adam_Admin,
14,/dashboard/users/groups,"User Groups",1,,"Initial Version",Adam_Admin,
15,/dashboard/users/attributes,Attributes,1,,"Initial Version",Adam_Admin,
16,/dashboard/users/add,"Add User",1,,"Initial Version",Adam_Admin,
17,/dashboard/users/add_group,"Add Group",1,,"Initial Version",Adam_Admin,
18,/dashboard/users/groups/bulkupdate,"Move Multiple Groups",1,,"Initial Version",Adam_Admin,
19,/dashboard/users/group_sets,"Group Sets",1,,"Initial Version",Adam_Admin,
20,/dashboard/users/points,"Community Points",1,,"Initial Version",Adam_Admin,
21,/dashboard/users/points/assign,"Assign Points",1,,"Initial Version",Adam_Admin,
